一    yī: one
茶    chá: tea
菜    cài: vegetable, dish
报    bào: report, newspaper, recompense
张    zhāng: open, a measure word for flat objects, Chinese surname
产    chǎn: to produce, to give birth
床    chuáng: bed
或    huò: perhaps, might, possibly, or,
忙    máng: busy
慢    màn: slow
前    qián: front, former
民    mín: the people, civilian
身    shēn: body
完    wán: intact, whole, finish
院    yuàn: yard
员    yuán: member, person engaged in something
圆    yuán: round, circle
直    zhí: straight, direct
真    zhēn: really, true, real
词    cí: word
等    děng: wait, class, grade
红    hóng: red
非    fēi: not, no, wrong
客    kè: guest, visitor
难    nán / nàn: difficult, unpleasant / disaster
世    shì: lifetime, age, era
界    jiè: boundary
全    quán: whole, complete
色    sè: color, scene, women's looks, looks, expression
无    wú: nothing, not have
义    yì: justice, righteousness, meaning
亲    qīn: parent, relatives, in person
新    xīn: new, newly
节    jié: festival, economize
角    jiǎo / jué: horn / role, part, contend
解    jiě: divide, separate, explain, solve
始    shǐ: begin, beginning
科    kē: branch, division, science
级    jí: level, rank
极    jí: extremely, pole
风    fēng: wind
代    dài: generation, dynasty
表    biǎo: surface, show, watch
办    bàn: do, handle, run, punish
定    dìng: calm, stable, decide, subscribe, book
告    gào: tell, inform, accuse
计    jì: count, compute, idea, plan
诉    sù: tell, complain, accuse
业    yè: line of business, trade, enterprise, cause
光    guāng: light, glory, smooth, glossy
复    fù: duplicate, answer, recover, resume
服    fú: clothes, dress, serve, obey, take, medicine
克    kè: overcome, gram
空    kōng / kòng: sky, empty, hollow / empty space, free time, vacant, leave empty
片    piàn: a flat, thin piece, slice
外    wài: outside, outer, outward, other, foreign
望    wàng: go, past, toward, to
论    lùn: discuss, opinion, view
谈    tán: talk, chat, what is said
星    xīng: star
行    xíng / háng: go, travel, OK / line, business, firm
形    xíng: form, body
须    xū: beard, mustache, must, have to
选    xuǎn: select, choose, elect
医    yī: doctor, medical service
应    yīng / yìng: should / answer, respond
该    gāi: should, ought to, this
拉    lā: to pull, draw
念    niàn: think of, study
农    nóng: farming, farmer
命    mìng: life, order
岁    suì: year, year of age
兴    xīng / xìng: become popular / mood, desire
系    xì / jì: system, department / tie, fasten
条    tiáo: a long narrow piece, item, article, measure word
提    tí: to carry, to lift, bring up
题    tí: topic, inscribe, write
布    bù: to declare, to announce, cloth
